State/federal,Total,Male,Female,Total,White/a,Black/a,Hispanic,American Indian/Alaska Native/a,Asian/a,Native Hawaiian/Other Pacific Islander/a,Two or more races/a,Other/a,Unknown,Did not report,Rated Capacity,Operational Capacity,Design Capacity ,Custody population,Lowest capacity,Highest capacity,Held in private prisons,Held in local jails,Total of Non-US residents sentenced 2019,Male non- US residents sentenced 2019,Female non- US residents sentenced 2019,2019 Non-U.S. citizen prisoners sentenced to more than 1 year ,2019 Male Non-U.S. citizen prisoners sentenced to more than 1 year ,2019 Female Non-U.S. citizen prisoners sentenced to more than 1 year ,Total Imprisonment rates per 100000 in 2019,Male imprisonment rate 2019,Female imprisonment rate 2019,Age 18 or older imprisonment rate 2019,Total of minors in custody in pulic private or federal custody,Total male minors,Total female minors
Mississippi,"18,915","17,644","1,271","26,044","16,286","9,027",549,87,59,0,0,0,36,0,"30,332","29,596",0,"26,012",87.9,85.8,"3,139","5,442",24,24,0,24,24,0,636,"1,224",83,830,21,21,0
Missouri,"26,038","23,638","2,400","4,723","3,359",131,117,"1,094",0,0,0,22,0,0,"2,012","1,935","1,142","1,985",173.8,98.7,0,0,190,184,6,190,184,6,424,783,77,545,4,4,0
Montana/d,"4,723","4,175",548,"5,682","2,943","1,559",824,265,47,4,0,37,3,0,0,"4,807","3,535","5,546",156.9,115.4,"2,222",295,24,22,2,24,22,2,440,773,103,559,0,0,0
Nebraska,"5,596","5,190",406,"12,840","5,537","3,990","2,719",218,374,0,0,0,2,0,"14,107","12,376","9,567","12,414",129.8,88,0,131,178,178,0,177,177,0,289,536,42,382,7,7,0
Nevada,"12,840","11,601","1,239","2,691","3,268",140,120,13,20,0,0,37,61,0,"2,760","2,760","1,810","2,464",136.1,89.3,100,16,"1,150","1,099",51,"1,145","1,094",51,413,744,80,532,11,11,0
New Hampshire/e,"2,691","2,463",228,"18,613","3,978","11,372","2,911",13,139,0,0,0,200,0,"15,983","17,219","21,877","15,988",100,73.1,0,52,173,0,0,173,0,0,197,365,33,243,0,0,0
New Jersey/f,"18,613","17,912",701,"6,723","1,687",463,"4,010",446,19,19,0,0,79,0,"3,418","4,764",0,"4,278",125.2,89.8,"2,297",227,"1,255","1,233",22,"1,255","1,233",22,210,412,15,268,0,0,0
New Mexico,"6,634","5,975",659,"43,500","10,421","21,109","10,584",391,258,0,0,543,194,0,"50,121","50,315","49,593","43,515",87.7,86.5,"2,445",0,146,145,1,142,141,1,316,575,62,408,0,0,0
New York,"43,439","41,522","1,917","34,079","13,553","17,545","1,874",844,109,19,0,0,135,0,"39,012","36,226",0,"34,480",95.2,88.4,0,0,"1,837","1,805",32,"1,835","1,803",32,224,440,19,282,36,34,2
North Carolina,"33,042","30,579","2,463","1,794","1,098",186,114,389,6,1,0,0,0,0,"1,463","1,463","1,463","1,459",99.7,99.7,30,0,"1,139","1,108",31,"1,130","1,099",31,313,596,45,401,61,60,1
North Dakota/e,"1,767","1,563",204,"50,338","25,070","21,752","1,380",82,67,0,0,346,0,"1,641",0,0,0,"43,572",0,0,308,4,15,15,0,15,15,0,231,399,55,303,0,0,0
