Year,State,TotalsViolentAll
2007,Nebraska,5524
2008,Nebraska,5570
2009,Nebraska,5199
2010,Nebraska,5093
2011,Nebraska,4672
2012,Nebraska,4814
1960,Nevada,416
1961,Nevada,549
1962,Nevada,711
1963,Nevada,755
1964,Nevada,983
1965,Nevada,953
1966,Nevada,987
1967,Nevada,1100
1968,Nevada,1261
1969,Nevada,1642
1970,Nevada,1948
1971,Nevada,1887
1972,Nevada,2264
1973,Nevada,3135
1974,Nevada,3910
1975,Nevada,4018
1976,Nevada,4215
1977,Nevada,4703
1978,Nevada,5153
1979,Nevada,5866
1980,Nevada,7304
1981,Nevada,7575
1982,Nevada,7096
1983,Nevada,5838
1984,Nevada,5726
1985,Nevada,6244
1986,Nevada,6923
1987,Nevada,7006
1988,Nevada,8275
1989,Nevada,6947
1990,Nevada,7222
1991,Nevada,8693
1992,Nevada,9247
1993,Nevada,12157
1994,Nevada,14597
1995,Nevada,14461
1996,Nevada,13005
1997,Nevada,13395
1998,Nevada,11244
1999,Nevada,10311
2000,Nevada,10474
2001,Nevada,12359
2002,Nevada,13856
2003,Nevada,13813
2004,Nevada,14379
2005,Nevada,14654
2006,Nevada,18687
2007,Nevada,19365
2008,Nevada,18973
2009,Nevada,18639
2010,Nevada,17929
2011,Nevada,15452
2012,Nevada,16763
1960,New Hampshire,81
1961,New Hampshire,89
1962,New Hampshire,178
1963,New Hampshire,164
1964,New Hampshire,149
1965,New Hampshire,156
1966,New Hampshire,259
1967,New Hampshire,218
1968,New Hampshire,279
1969,New Hampshire,325
1970,New Hampshire,413
1971,New Hampshire,580
1972,New Hampshire,491
1973,New Hampshire,649
1974,New Hampshire,739
1975,New Hampshire,816
1976,New Hampshire,709
1977,New Hampshire,960
1978,New Hampshire,1035
1979,New Hampshire,1241
1980,New Hampshire,1653
1981,New Hampshire,1375
1982,New Hampshire,1187
1983,New Hampshire,1200
1984,New Hampshire,1308
1985,New Hampshire,1405
1986,New Hampshire,1433
1987,New Hampshire,1581
1988,New Hampshire,1622
1989,New Hampshire,1865
1990,New Hampshire,1459
1991,New Hampshire,1318
1992,New Hampshire,1397
1993,New Hampshire,1550
1994,New Hampshire,1328
1995,New Hampshire,1314
1996,New Hampshire,1373
1997,New Hampshire,1328
1998,New Hampshire,1270
1999,New Hampshire,1159
2000,New Hampshire,2167
2001,New Hampshire,2144
2002,New Hampshire,2056
2003,New Hampshire,1937
2004,New Hampshire,2202
2005,New Hampshire,1761
2006,New Hampshire,1785
2007,New Hampshire,1896
2008,New Hampshire,2054
2009,New Hampshire,2125
2010,New Hampshire,2204
2011,New Hampshire,2864
2012,New Hampshire,2481
1960,New Jersey,6932
1961,New Jersey,6682
1962,New Jersey,7874
1963,New Jersey,8849
1964,New Jersey,10456
1965,New Jersey,10422
1966,New Jersey,11168
1967,New Jersey,13204
1968,New Jersey,16711
1969,New Jersey,17226
1970,New Jersey,20583
1971,New Jersey,26441
1972,New Jersey,27577
1973,New Jersey,28845
1974,New Jersey,29568
1975,New Jersey,30215
1976,New Jersey,29107
1977,New Jersey,28732
1978,New Jersey,31027
1979,New Jersey,36747
1980,New Jersey,44373
1981,New Jersey,46674
1982,New Jersey,45175
1983,New Jersey,41304
1984,New Jersey,39659
1985,New Jersey,41172
1986,New Jersey,43623
1987,New Jersey,41507
1988,New Jersey,44993
1989,New Jersey,47111
1990,New Jersey,50057
1991,New Jersey,49257
1992,New Jersey,48745
1993,New Jersey,49390
1994,New Jersey,48544
1995,New Jersey,47652
1996,New Jersey,42459
1997,New Jersey,39673
1998,New Jersey,35720
1999,New Jersey,33540
2000,New Jersey,32298
2001,New Jersey,33094
2002,New Jersey,32252
2003,New Jersey,31488
2004,New Jersey,30943
2005,New Jersey,30919
2006,New Jersey,30550
2007,New Jersey,28544
2008,New Jersey,28351
2009,New Jersey,27113
2010,New Jersey,27055
2011,New Jersey,27203
2012,New Jersey,25727
1960,New Mexico,1360
1961,New Mexico,1278
1962,New Mexico,1338
1963,New Mexico,1376
1964,New Mexico,1613
1965,New Mexico,2047
1966,New Mexico,2221
1967,New Mexico,2325
1968,New Mexico,2543
1969,New Mexico,2881
1970,New Mexico,3093
1971,New Mexico,3994
1972,New Mexico,4598
1973,New Mexico,5219
1974,New Mexico,5053
1975,New Mexico,6134
1976,New Mexico,6475
1977,New Mexico,5961
1978,New Mexico,6402
1979,New Mexico,7272
1980,New Mexico,7967
1981,New Mexico,8913
1982,New Mexico,9982
1983,New Mexico,9608
1984,New Mexico,9798
1985,New Mexico,10207
1986,New Mexico,10731
1987,New Mexico,9427
1988,New Mexico,9938
1989,New Mexico,10755
1990,New Mexico,11821
1991,New Mexico,12922
1992,New Mexico,14781
1993,New Mexico,15024
1994,New Mexico,14708
1995,New Mexico,13804
1996,New Mexico,14399
1997,New Mexico,14762
1998,New Mexico,16700
1999,New Mexico,14520
2000,New Mexico,13786
2001,New Mexico,14288
2002,New Mexico,13719
2003,New Mexico,12535
2004,New Mexico,13081
2005,New Mexico,12448
2006,New Mexico,12797
2007,New Mexico,13311
2008,New Mexico,12967
2009,New Mexico,12709
2010,New Mexico,12147
2011,New Mexico,11904
2012,New Mexico,11660
1965,New York,58802
1966,New York,62561
1967,New York,75124
1968,New York,98515
1969,New York,105870
1970,New York,124613
1971,New York,145048
1972,New York,138542
1973,New York,135468
1974,New York,145427
1975,New York,155187
1976,New York,156988
1977,New York,149087
1978,New York,149257
1979,New York,161906
1980,New York,180235
1981,New York,188178
1982,New York,174833
1983,New York,161489
1984,New York,162157
1985,New York,165365
1986,New York,175210
1987,New York,179691
1988,New York,196396
1989,New York,203042
1990,New York,212458
1991,New York,210184
1992,New York,203311
1993,New York,195352
1994,New York,175433
1995,New York,152683
1996,New York,132206
1997,New York,124890
1998,New York,115915
1999,New York,107147
2000,New York,105111
2001,New York,98022
2002,New York,95030
2003,New York,89486
2004,New York,84914
2005,New York,85839
2006,New York,84016
2007,New York,79962
2008,New York,77546
2009,New York,75110
2010,New York,76492
2011,New York,77463
2012,New York,79610
1960,North Carolina,10182
1961,North Carolina,9275
1962,North Carolina,9533
1963,North Carolina,10038
1964,North Carolina,12345
1965,North Carolina,12755
1966,North Carolina,14775
1967,North Carolina,15995
1968,North Carolina,18025
1969,North Carolina,18117
1970,North Carolina,18814
1971,North Carolina,19952
1972,North Carolina,22087
1973,North Carolina,23086
1974,North Carolina,26220
1975,North Carolina,23791
1976,North Carolina,22061
1977,North Carolina,22492
1978,North Carolina,23054
1979,North Carolina,25009
1980,North Carolina,26589
1981,North Carolina,25986
1982,North Carolina,26865
1983,North Carolina,24911
1984,North Carolina,24885
1985,North Carolina,26327
1986,North Carolina,30128
1987,North Carolina,31039
1988,North Carolina,32753
1989,North Carolina,35902
1990,North Carolina,41332
1991,North Carolina,44355
1992,North Carolina,46600
1993,North Carolina,47178
1994,North Carolina,46308
1995,North Carolina,46508
1996,North Carolina,43068
1997,North Carolina,45071
1998,North Carolina,43723
1999,North Carolina,41474
2000,North Carolina,40051
2001,North Carolina,40465
2002,North Carolina,39118
2003,North Carolina,38243
2004,North Carolina,38244
2005,North Carolina,40650
2006,North Carolina,42088
2007,North Carolina,42231
2008,North Carolina,43125
2009,North Carolina,37946
2010,North Carolina,34679
2011,North Carolina,33421
2012,North Carolina,34464
1960,North Dakota,90
1961,North Dakota,160
1962,North Dakota,128
1963,North Dakota,182
1964,North Dakota,229
1965,North Dakota,223
1966,North Dakota,231
1967,North Dakota,185
1968,North Dakota,173
1969,North Dakota,220
1970,North Dakota,211
1971,North Dakota,238
1972,North Dakota,290
1973,North Dakota,389
1974,North Dakota,319
1975,North Dakota,337
1976,North Dakota,462
1977,North Dakota,438
1978,North Dakota,437
1979,North Dakota,403
1980,North Dakota,352
1981,North Dakota,444
1982,North Dakota,414
1983,North Dakota,365
1984,North Dakota,368
1985,North Dakota,322
1986,North Dakota,348
1987,North Dakota,382
1988,North Dakota,392
1989,North Dakota,417
1990,North Dakota,472
1991,North Dakota,415
1992,North Dakota,530
1993,North Dakota,522
1994,North Dakota,522
1995,North Dakota,556
1996,North Dakota,541
1997,North Dakota,559
1998,North Dakota,570
1999,North Dakota,424
2000,North Dakota,523
2001,North Dakota,505
2002,North Dakota,496
2003,North Dakota,508
2004,North Dakota,558
2005,North Dakota,706
2006,North Dakota,1255
2007,North Dakota,1343
2008,North Dakota,1441
2009,North Dakota,1723
2010,North Dakota,1548
2011,North Dakota,1699
2012,North Dakota,1712
1960,Ohio,8120
1961,Ohio,7986
1962,Ohio,8366
1963,Ohio,9086
1964,Ohio,11582
1965,Ohio,12788
1966,Ohio,15626
1967,Ohio,19344
1968,Ohio,21228
1969,Ohio,26648
1970,Ohio,30279
1971,Ohio,32159
1972,Ohio,32286
1973,Ohio,31304
1974,Ohio,39094
1975,Ohio,43901
1976,Ohio,41553
1977,Ohio,43521
1978,Ohio,44357
1979,Ohio,49092
1980,Ohio,53646
1981,Ohio,53509
1982,Ohio,47126
1983,Ohio,42759
1984,Ohio,41430
1985,Ohio,41000
1986,Ohio,45260
1987,Ohio,45436
1988,Ohio,49144
1989,Ohio,51109
1990,Ohio,54904
1991,Ohio,61460
1992,Ohio,57935
1993,Ohio,55915
1994,Ohio,53930
1995,Ohio,53799
1996,Ohio,47896
1997,Ohio,48706
1998,Ohio,40628
1999,Ohio,35616
2000,Ohio,37935
2001,Ohio,40023
2002,Ohio,40128
2003,Ohio,38185
2004,Ohio,38787
2005,Ohio,40162
2006,Ohio,41491
2007,Ohio,40759
2008,Ohio,40436
2009,Ohio,38305
2010,Ohio,36306
2011,Ohio,35218
2012,Ohio,34595
1960,Oklahoma,2258
1961,Oklahoma,2437
1962,Oklahoma,2478
1963,Oklahoma,2808
1964,Oklahoma,3609
1965,Oklahoma,3339
1966,Oklahoma,3552
1967,Oklahoma,3703
1968,Oklahoma,4473
1969,Oklahoma,4775
1970,Oklahoma,5194
1971,Oklahoma,6719
1972,Oklahoma,6289
1973,Oklahoma,6556
1974,Oklahoma,7588
1975,Oklahoma,8225
1976,Oklahoma,7926
1977,Oklahoma,8899
1978,Oklahoma,10165
1979,Oklahoma,11719
1980,Oklahoma,12589
1981,Oklahoma,13223
1982,Oklahoma,14103
1983,Oklahoma,13964
1984,Oklahoma,13438
1985,Oklahoma,13930
1986,Oklahoma,14423
1987,Oklahoma,13664
1988,Oklahoma,14179
1989,Oklahoma,15847
1990,Oklahoma,17222
1991,Oklahoma,18533
1992,Oklahoma,20005
1993,Oklahoma,20512
1994,Oklahoma,21225
1995,Oklahoma,21770
1996,Oklahoma,19710
1997,Oklahoma,18560
1998,Oklahoma,18053
1999,Oklahoma,17066
2000,Oklahoma,17177
2001,Oklahoma,17726
2002,Oklahoma,17587
2003,Oklahoma,17758
2004,Oklahoma,17635
2005,Oklahoma,18044
2006,Oklahoma,17905
2007,Oklahoma,18234
2008,Oklahoma,19359
2009,Oklahoma,18560
2010,Oklahoma,18100
2011,Oklahoma,17311
2012,Oklahoma,17902
1960,Oregon,1232
1961,Oregon,1242
1962,Oregon,1461
1963,Oregon,1393
1964,Oregon,2009
1965,Oregon,2290
1966,Oregon,2470
1967,Oregon,3147
1968,Oregon,3955
1969,Oregon,4527
1970,Oregon,5373
1971,Oregon,6335
1972,Oregon,6494
1973,Oregon,6512
1974,Oregon,8326
1975,Oregon,10034
1976,Oregon,10654
1977,Oregon,10830
1978,Oregon,12278
1979,Oregon,13781
1980,Oregon,12802
1981,Oregon,12671
1982,Oregon,12529
1983,Oregon,12986
1984,Oregon,13533
1985,Oregon,14807
1986,Oregon,14830
1987,Oregon,14697
1988,Oregon,14959
1989,Oregon,14625
1990,Oregon,14405
1991,Oregon,14795
1992,Oregon,15189
1993,Oregon,15254
1994,Oregon,16067
1995,Oregon,16408
1996,Oregon,14837
1997,Oregon,14412
1998,Oregon,13778
1999,Oregon,12432
2000,Oregon,12000
2001,Oregon,10650
2002,Oregon,10298
2003,Oregon,10506
2004,Oregon,10724
2005,Oregon,10444
2006,Oregon,10534
2007,Oregon,11015
2008,Oregon,9909
2009,Oregon,9968
2010,Oregon,9648
2011,Oregon,9643
2012,Oregon,9653
1960,Pennsylvania,11203
1961,Pennsylvania,11223
1962,Pennsylvania,11856
1963,Pennsylvania,12678
1964,Pennsylvania,14162
1965,Pennsylvania,16384
1966,Pennsylvania,15169
1967,Pennsylvania,16119
1968,Pennsylvania,20710
1969,Pennsylvania,22887
1970,Pennsylvania,25970
1971,Pennsylvania,31917
1972,Pennsylvania,33052
1973,Pennsylvania,32397
1974,Pennsylvania,37281
1975,Pennsylvania,38933
1976,Pennsylvania,34985
1977,Pennsylvania,33328
1978,Pennsylvania,35381
1979,Pennsylvania,39133
1980,Pennsylvania,43032
1981,Pennsylvania,44104
1982,Pennsylvania,42767
1983,Pennsylvania,40782
1984,Pennsylvania,38154
1985,Pennsylvania,39240
1986,Pennsylvania,42629
1987,Pennsylvania,44087
1988,Pennsylvania,43534
1989,Pennsylvania,45586
1990,Pennsylvania,51213
1991,Pennsylvania,53824
1992,Pennsylvania,51276
1993,Pennsylvania,50295
1994,Pennsylvania,51425
1995,Pennsylvania,51586
1996,Pennsylvania,57905
1997,Pennsylvania,53140
1998,Pennsylvania,50470
1999,Pennsylvania,50431
2000,Pennsylvania,51584
2001,Pennsylvania,50432
2002,Pennsylvania,49578
2003,Pennsylvania,49210
2004,Pennsylvania,50998
2005,Pennsylvania,52761
2006,Pennsylvania,55028
2007,Pennsylvania,51806
2008,Pennsylvania,51044
2009,Pennsylvania,48188
2010,Pennsylvania,46612
2011,Pennsylvania,46189
2012,Pennsylvania,44503
1960,Rhode Island,316
1961,Rhode Island,372
1962,Rhode Island,402
1963,Rhode Island,500
1964,Rhode Island,578
1965,Rhode Island,722
1966,Rhode Island,849
1967,Rhode Island,1156
1968,Rhode Island,1254
1969,Rhode Island,1594
1970,Rhode Island,1944
1971,Rhode Island,2129
1972,Rhode Island,2424
1973,Rhode Island,2749
1974,Rhode Island,2651
1975,Rhode Island,2802
1976,Rhode Island,2779
1977,Rhode Island,2820
1978,Rhode Island,3255
1979,Rhode Island,3485
1980,Rhode Island,3864
1981,Rhode Island,4205
1982,Rhode Island,3849
1983,Rhode Island,3392
1984,Rhode Island,3220
1985,Rhode Island,3355
1986,Rhode Island,3271
1987,Rhode Island,3547
1988,Rhode Island,3947
1989,Rhode Island,3772
1990,Rhode Island,4334
1991,Rhode Island,4638
1992,Rhode Island,3965
1993,Rhode Island,4017
1994,Rhode Island,3744
1995,Rhode Island,3643
1996,Rhode Island,3437
1997,Rhode Island,3292
1998,Rhode Island,3084
1999,Rhode Island,2840
2000,Rhode Island,3121
2001,Rhode Island,3278
2002,Rhode Island,3051
2003,Rhode Island,3074
2004,Rhode Island,2673
2005,Rhode Island,2710
2006,Rhode Island,2460
2007,Rhode Island,2424
2008,Rhode Island,2656
2009,Rhode Island,2678
2010,Rhode Island,2709
2011,Rhode Island,2586
2012,Rhode Island,2651
1960,South Carolina,3424
1961,South Carolina,3318
1962,South Carolina,3012
1963,South Carolina,4075
1964,South Carolina,4240
1965,South Carolina,4504
1966,South Carolina,5844
1967,South Carolina,6015
1968,South Carolina,5853
1969,South Carolina,6449
1970,South Carolina,7412
1971,South Carolina,8188
1972,South Carolina,10312
1973,South Carolina,10757
1974,South Carolina,12688
1975,South Carolina,14412
1976,South Carolina,17065
1977,South Carolina,18297
1978,South Carolina,18604
1979,South Carolina,19889
1980,South Carolina,20225
1981,South Carolina,20275
1982,South Carolina,23061
1983,South Carolina,20133
1984,South Carolina,20607
1985,South Carolina,21121
1986,South Carolina,22789
1987,South Carolina,22773
1988,South Carolina,25889
1989,South Carolina,28576
1990,South Carolina,34050
1991,South Carolina,34621
1992,South Carolina,34029
1993,South Carolina,37281
1994,South Carolina,37756
1995,South Carolina,36067
1996,South Carolina,36875
1997,South Carolina,37235
1998,South Carolina,34647
1999,South Carolina,32920
2000,South Carolina,33225
2001,South Carolina,33114
2002,South Carolina,33761
2003,South Carolina,33455
2004,South Carolina,33160
2005,South Carolina,32590
2006,South Carolina,33322
2007,South Carolina,34630
2008,South Carolina,32746
2009,South Carolina,30799
2010,South Carolina,27923
2011,South Carolina,27894
2012,South Carolina,26397
1960,South Dakota,282
1961,South Dakota,245
1962,South Dakota,279
1963,South Dakota,278
1964,South Dakota,408
1965,South Dakota,415
1966,South Dakota,568
1967,South Dakota,586
1968,South Dakota,563
1969,South Dakota,510
1970,South Dakota,616
1971,South Dakota,644
1972,South Dakota,756
1973,South Dakota,869
1974,South Dakota,1234
1975,South Dakota,1402
1976,South Dakota,1277
1977,South Dakota,1303
1978,South Dakota,1128
1979,South Dakota,1096
1980,South Dakota,873
1981,South Dakota,718
1982,South Dakota,684
1983,South Dakota,840
1984,South Dakota,1041
1985,South Dakota,967
1986,South Dakota,883
1987,South Dakota,849
1988,South Dakota,813
1989,South Dakota,969
1990,South Dakota,1133
1991,South Dakota,1281
1992,South Dakota,1383
1993,South Dakota,1490
1994,South Dakota,1641
1995,South Dakota,1513
1996,South Dakota,1297
1997,South Dakota,1457
1998,South Dakota,1139
1999,South Dakota,1227
2000,South Dakota,1259
2001,South Dakota,1171
2002,South Dakota,1350
2003,South Dakota,1329
2004,South Dakota,1319
2005,South Dakota,1387
2006,South Dakota,2071
2007,South Dakota,1926
2008,South Dakota,2227
2009,South Dakota,1777
2010,South Dakota,2196
2011,South Dakota,2105
2012,South Dakota,2682
1960,Tennessee,3250
1961,Tennessee,3910
1962,Tennessee,3767
1963,Tennessee,3777
1964,Tennessee,4505
1965,Tennessee,5333
1966,Tennessee,6145
1967,Tennessee,8111
1968,Tennessee,8766
1969,Tennessee,9235
1970,Tennessee,10787
1971,Tennessee,12520
1972,Tennessee,12858
1973,Tennessee,14771
1974,Tennessee,15969
1975,Tennessee,16627
1976,Tennessee,16574
1977,Tennessee,16743
1978,Tennessee,16671
1979,Tennessee,18135
1980,Tennessee,20824
1981,Tennessee,19019
1982,Tennessee,19586
1983,Tennessee,18836
1984,Tennessee,21010
1985,Tennessee,22592
1986,Tennessee,25919
1987,Tennessee,25900
1988,Tennessee,26205
1989,Tennessee,27118
1990,Tennessee,32698
1991,Tennessee,35955
1992,Tennessee,37487
1993,Tennessee,39047
1994,Tennessee,38705
1995,Tennessee,40549
1996,Tennessee,41175
1997,Tennessee,42389
1998,Tennessee,38832
1999,Tennessee,38111
2000,Tennessee,40233
2001,Tennessee,42776
2002,Tennessee,41562
2003,Tennessee,40409
2004,Tennessee,41113
2005,Tennessee,45104
2006,Tennessee,46043
2007,Tennessee,46482
2008,Tennessee,44913
2009,Tennessee,41933
2010,Tennessee,38909
2011,Tennessee,38895
2012,Tennessee,41550
1960,Texas,15428
1961,Texas,15441
1962,Texas,15516
1963,Texas,17511
1964,Texas,19769
1965,Texas,21029
1966,Texas,24382
1967,Texas,26749
1968,Texas,29646
1969,Texas,36707
1970,Texas,40897
1971,Texas,43089
1972,Texas,41285
1973,Texas,45458
1974,Texas,47008
1975,Texas,47803
1976,Texas,44422
1977,Texas,52309
1978,Texas,56650
1979,Texas,67988
1980,Texas,77978
1981,Texas,78560
1982,Texas,88178
1983,Texas,80546
1984,Texas,80737
1985,Texas,90030
1986,Texas,109925
1987,Texas,105961
1988,Texas,109499
1989,Texas,111889
1990,Texas,129343
1991,Texas,145743
1992,Texas,142369
1993,Texas,137419
1994,Texas,129838
1995,Texas,124303
1996,Texas,123270
1997,Texas,117126
1998,Texas,111566
1999,Texas,112306
2000,Texas,113653
2001,Texas,122155
2002,Texas,126018
2003,Texas,122246
2004,Texas,121554
2005,Texas,121091
2006,Texas,121602
2007,Texas,122014
2008,Texas,123585
2009,Texas,121684
2010,Texas,113231
2011,Texas,104734
2012,Texas,106476
1960,Utah,484
1961,Utah,451
1962,Utah,554
1963,Utah,598
1964,Utah,888
1965,Utah,886
1966,Utah,1148
1967,Utah,1194
1968,Utah,1201
1969,Utah,1460
1970,Utah,1459
1971,Utah,1689
1972,Utah,2063
1973,Utah,2412
1974,Utah,2517
1975,Utah,2795
1976,Utah,2709
1977,Utah,3043
1978,Utah,3552
1979,Utah,4158
1980,Utah,4425
1981,Utah,4527
1982,Utah,4440
1983,Utah,4144
1984,Utah,4035
1985,Utah,4398
1986,Utah,4441
1987,Utah,3861
1988,Utah,4110
1989,Utah,4417
1990,Utah,4892
1991,Utah,5077
1992,Utah,5267
1993,Utah,5599
1994,Utah,5810
1995,Utah,6415
1996,Utah,6638
1997,Utah,6878
1998,Utah,6599
1999,Utah,5869
2000,Utah,5711
2001,Utah,5314
2002,Utah,5488
2003,Utah,5889
2004,Utah,5647
2005,Utah,5612
2006,Utah,5771
2007,Utah,6347
2008,Utah,6165
2009,Utah,5998
2010,Utah,5925
2011,Utah,5547
2012,Utah,5876
1960,Vermont,37
1961,Vermont,79
1962,Vermont,57
1963,Vermont,92
1964,Vermont,89
1965,Vermont,89
1966,Vermont,80
1967,Vermont,86
1968,Vermont,157
1969,Vermont,234
1970,Vermont,329
1971,Vermont,333
1972,Vermont,445
1973,Vermont,327
1974,Vermont,353
1975,Vermont,448
1976,Vermont,563
1977,Vermont,722
1978,Vermont,810
1979,Vermont,908
1980,Vermont,914
1981,Vermont,659
1982,Vermont,655
1983,Vermont,696
1984,Vermont,769
1985,Vermont,790
1986,Vermont,807
1987,Vermont,748
1988,Vermont,791
1989,Vermont,753
1990,Vermont,716
1991,Vermont,662
1992,Vermont,624
1993,Vermont,658
1994,Vermont,562
1995,Vermont,692
1996,Vermont,714
1997,Vermont,705
1998,Vermont,628
1999,Vermont,676
2000,Vermont,691
2001,Vermont,644
2002,Vermont,658
2003,Vermont,707
2004,Vermont,713
2005,Vermont,782
2006,Vermont,905
2007,Vermont,802
2008,Vermont,854
2009,Vermont,837
2010,Vermont,820
2011,Vermont,925
2012,Vermont,893
1960,Virginia,7286
1961,Virginia,7555
1962,Virginia,7720
1963,Virginia,8259
1964,Virginia,10561
1965,Virginia,10145
1966,Virginia,10399
1967,Virginia,10328
1968,Virginia,12821
1969,Virginia,12433
1970,Virginia,14040
1971,Virginia,15384
1972,Virginia,16483
1973,Virginia,16007
1974,Virginia,17514
1975,Virginia,18917
1976,Virginia,15485
1977,Virginia,14893
1978,Virginia,14743
1979,Virginia,15642
1980,Virginia,16355
1981,Virginia,17456
1982,Virginia,16970
1983,Virginia,16236
1984,Virginia,16660
1985,Virginia,16813
1986,Virginia,17708
1987,Virginia,17414
1988,Virginia,17940
1989,Virginia,19057
1990,Virginia,21694
1991,Virginia,23459
1992,Virginia,23907
1993,Virginia,24160
1994,Virginia,23437
1995,Virginia,23921
1996,Virginia,22782
1997,Virginia,23249
1998,Virginia,22115
1999,Virginia,21626
2000,Virginia,19943
2001,Virginia,20939
2002,Virginia,21256
2003,Virginia,20490
2004,Virginia,20608
2005,Virginia,21434
2006,Virginia,21683
2007,Virginia,21035
2008,Virginia,20031
2009,Virginia,18195
2010,Virginia,17184
2011,Virginia,16014
2012,Virginia,15564
1960,Washington,1616
1961,Washington,1687
1962,Washington,1913
1963,Washington,2034
1964,Washington,2761
1965,Washington,3081
1966,Washington,3673
1967,Washington,4754
1968,Washington,6970
1969,Washington,8243
1970,Washington,7546
1971,Washington,8155
1972,Washington,8627
1973,Washington,9309
1974,Washington,12036
1975,Washington,13851
1976,Washington,14036
1977,Washington,13714
1978,Washington,15296
1979,Washington,17064
1980,Washington,19098
1981,Washington,18839
1982,Washington,17251
1983,Washington,15986
1984,Washington,17676
1985,Washington,18757
1986,Washington,19505
1987,Washington,19945
1988,Washington,21543
1989,Washington,22460
1990,Washington,24410
1991,Washington,26224
1992,Washington,27454
1993,Washington,27040
1994,Washington,27317
1995,Washington,26300
1996,Washington,23857
1997,Washington,24724
1998,Washington,24380
1999,Washington,21716
2000,Washington,21788
2001,Washington,21258
2002,Washington,20964
2003,Washington,21272
2004,Washington,21330
2005,Washington,21745
2006,Washington,22303
2007,Washington,21768
2008,Washington,21888
2009,Washington,22412
2010,Washington,21138
2011,Washington,20152
2012,Washington,20386
1960,West Virginia,1200
1961,West Virginia,1167
1962,West Virginia,1146
1963,West Virginia,1185
1964,West Virginia,1359
1965,West Virginia,1413
1966,West Virginia,1613
1967,West Virginia,1744
1968,West Virginia,1959
1969,West Virginia,1766
1970,West Virginia,2158
1971,West Virginia,2311
1972,West Virginia,2299
1973,West Virginia,2219
1974,West Virginia,2460
1975,West Virginia,2915
1976,West Virginia,2761
1977,West Virginia,2832
1978,West Virginia,3120
1979,West Virginia,3156
1980,West Virginia,3547
1981,West Virginia,3410
1982,West Virginia,3405
1983,West Virginia,3375
1984,West Virginia,3283
1985,West Virginia,3214
1986,West Virginia,3156
1987,West Virginia,2605
1988,West Virginia,2476
1989,West Virginia,2724
1990,West Virginia,3036
1991,West Virginia,3440
1992,West Virginia,3833
1993,West Virginia,3793
1994,West Virginia,3931
1995,West Virginia,3842
1996,West Virginia,3836
1997,West Virginia,3971
1998,West Virginia,4503
1999,West Virginia,6336
2000,West Virginia,5723
2001,West Virginia,5035
2002,West Virginia,4221
2003,West Virginia,4627
2004,West Virginia,5110
2005,West Virginia,4968
2006,West Virginia,5113
2007,West Virginia,5016
2008,West Virginia,5006
2009,West Virginia,5554
2010,West Virginia,5586
2011,West Virginia,5497
2012,West Virginia,5869
1960,Wisconsin,1261
1961,Wisconsin,1268
1962,Wisconsin,1174
1963,Wisconsin,1312
1964,Wisconsin,1762
1965,Wisconsin,1911
1966,Wisconsin,1984
1967,Wisconsin,2948
1968,Wisconsin,3400
1969,Wisconsin,3411
1970,Wisconsin,3792
1971,Wisconsin,3957
1972,Wisconsin,4358
1973,Wisconsin,5273
1974,Wisconsin,6411
1975,Wisconsin,6992
1976,Wisconsin,6345
1977,Wisconsin,6117
1978,Wisconsin,6184
1979,Wisconsin,7839
1980,Wisconsin,8546
1981,Wisconsin,8904
1982,Wisconsin,9077
1983,Wisconsin,9070
1984,Wisconsin,9367
1985,Wisconsin,9880
1986,Wisconsin,12339
1987,Wisconsin,12014
1988,Wisconsin,10414
1989,Wisconsin,10834
1990,Wisconsin,12948
1991,Wisconsin,13723
1992,Wisconsin,13806
1993,Wisconsin,13321
1994,Wisconsin,13748
1995,Wisconsin,14399
1996,Wisconsin,13039
1997,Wisconsin,13988
1998,Wisconsin,13009
1999,Wisconsin,12908
2000,Wisconsin,12700
2001,Wisconsin,12486
2002,Wisconsin,12238
2003,Wisconsin,12104
2004,Wisconsin,11548
2005,Wisconsin,13367
2006,Wisconsin,15899
2007,Wisconsin,16330
2008,Wisconsin,15507
2009,Wisconsin,14650
2010,Wisconsin,14167
2011,Wisconsin,14268
2012,Wisconsin,16064
1960,Wyoming,362
1961,Wyoming,288
1962,Wyoming,156
1963,Wyoming,213
1964,Wyoming,285
1965,Wyoming,257
1966,Wyoming,273
1967,Wyoming,294
1968,Wyoming,278
1969,Wyoming,286
1970,Wyoming,376
1971,Wyoming,532
1972,Wyoming,511
1973,Wyoming,763
1974,Wyoming,519
1975,Wyoming,764
1976,Wyoming,851
1977,Wyoming,978
1978,Wyoming,1189
1979,Wyoming,1579
1980,Wyoming,1841
1981,Wyoming,2116
1982,Wyoming,1527
1983,Wyoming,1219
1984,Wyoming,1237
1985,Wyoming,1307
1986,Wyoming,1486
1987,Wyoming,1387
1988,Wyoming,1479
1989,Wyoming,1227
1990,Wyoming,1367
1991,Wyoming,1427
1992,Wyoming,1489
1993,Wyoming,1345
1994,Wyoming,1297
1995,Wyoming,1220
1996,Wyoming,1201
1997,Wyoming,1225
1998,Wyoming,1191
1999,Wyoming,1115
2000,Wyoming,1316
2001,Wyoming,1272
2002,Wyoming,1364
2003,Wyoming,1314
2004,Wyoming,1163
2005,Wyoming,1172
2006,Wyoming,1307
